"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"ALDH2" "ALDH2" 0.736957452175785 0.000484904357750469
"ALDH3A1" "ALDH3A1" -0.140729432832475 0.577537802660809
"ALDH3A2" "ALDH3A2" 0.300890481941932 0.225019348194443
"ALDH3B1" "ALDH3B1" 0.86886728650669 2.89014345611499e-06
"ALDH4A1" "ALDH4A1" 0.256500444319221 0.304216593919392
"ALDH5A1" "ALDH5A1" 0.809506748251259 4.7036963534087e-05
"ALDH6A1" "ALDH6A1" 0.525012999966248 0.025272502219314
"ALDH7A1" "ALDH7A1" NA NA
"ALDH9A1" "ALDH9A1" 0.741819789865587 0.000424790903286759
"ALDOA" "ALDOA" 0.360579504673806 0.141570765067887
"ALDOC" "ALDOC" 0.856424535137164 5.72879511674255e-06
"ALG1" "ALG1" NA NA
"ALG10" "ALG10" NA NA
"ALG10B" "ALG10B" NA NA
"ALG12" "ALG12" 0.659099776706791 0.0029287570916793
"ALG13" "ALG13" NA NA
"ALG14" "ALG14" NA NA
"ALG1L2" "ALG1L2" NA NA
"ALG2" "ALG2" 0.128259697011483 0.612016443407946
"ALG3" "ALG3" NA NA
"ALG5" "ALG5" NA NA
"ALG6" "ALG6" NA NA
"ALG8" "ALG8" 0.11155196868235 0.659446250751952
"ALG9" "ALG9" 0.562333781197006 0.0151333111851305
"ALK" "ALK" NA NA
"ALKAL2" "ALKAL2" 0.460751696312592 0.0543141188013117
"ALKBH1" "ALKBH1" 0.299446334832587 0.227362401733814
"ALKBH2" "ALKBH2" 0.742093008747292 0.000421607860315597
"ALKBH3" "ALKBH3" 0.506645213138334 0.0318978368948874
"ALKBH4" "ALKBH4" 0.399160253446437 0.100805874850313
"ALKBH5" "ALKBH5" 0.690048270132896 0.00152803128221314
"ALKBH6" "ALKBH6" 0.637260051182043 0.00444700621016985
"ALKBH7" "ALKBH7" 0.468186564915173 0.0500504241221282
"ALKBH8" "ALKBH8" NA NA
"ALMS1" "ALMS1" 0.815337597265184 3.7407522547798e-05
"ALOX12" "ALOX12" NA NA
"ALOX12B" "ALOX12B" NA NA
"ALOX15" "ALOX15" NA NA
"ALOX15B" "ALOX15B" 0.808055083692465 4.97380517220331e-05
"ALOX5" "ALOX5" 0.912557927785761 1.3025281263951e-07
"ALOX5AP" "ALOX5AP" -0.0220995464524106 0.930640300800438
"ALOXE3" "ALOXE3" -0.155220843995754 0.538545152855345
"ALPK1" "ALPK1" 0.859728306601322 4.80750538868734e-06
"ALPK2" "ALPK2" 0.865767839184637 3.44870646151429e-06
"ALPK3" "ALPK3" NA NA
"ALPL" "ALPL" 0.580316577935281 0.0115735626749583
"ALS2" "ALS2" NA NA
"ALS2CL" "ALS2CL" 0.351433288389414 0.152700404775325
"ALX3" "ALX3" NA NA
"ALYREF" "ALYREF" -0.0215432062527109 0.932382553012997
"AMACR" "AMACR" NA NA
"AMBRA1" "AMBRA1" 0.622433059279895 0.00580409077343657
"AMD1" "AMD1" 0.17533370189643 0.486494865006561
"AMDHD2" "AMDHD2" 0.609159240055897 0.00728765846568203
"AMER1" "AMER1" NA NA
"AMER3" "AMER3" 0.0727214014116862 0.774295716643373
"AMFR" "AMFR" 0.371892742720977 0.128598661724446
"AMIGO1" "AMIGO1" 0.6916384734153 0.00147473989368355
"AMIGO3" "AMIGO3" 0.112900761010033 0.65556804100789
"AMMECR1" "AMMECR1" 0.603205803480529 0.00804571266960747
"AMMECR1L" "AMMECR1L" 0.408022882252327 0.0927834701371493
"AMN" "AMN" 0.782528260479832 0.000123845854120263
"AMN1" "AMN1" 0.867277837922076 3.16598511222343e-06
"AMOT" "AMOT" NA NA
"AMOTL1" "AMOTL1" NA NA
"AMOTL2" "AMOTL2" NA NA
"AMPD2" "AMPD2" -0.123010087475662 0.626772571929211
"AMPD3" "AMPD3" 0.77366759026526 0.000165377726193037
"AMPH" "AMPH" NA NA
"AMT" "AMT" 0.380689160367964 0.119105893034791
"AMZ1" "AMZ1" 0.929227350384201 2.53060086687396e-08
"AMZ2" "AMZ2" 0.749393633201978 0.000343665294187748
"ANAPC1" "ANAPC1" 0.529758659169687 0.02374938875225
"ANAPC15" "ANAPC15" 0.129667018134149 0.60808433666484
"ANAPC16" "ANAPC16" 0.696316184840035 0.00132683283673836
"ANAPC2" "ANAPC2" 0.547681564527372 0.0186332338882947
