"gene" "PcorAgg" "PcorAgg_pvalue" "PcorAvg" "PcorAvg_pvalue" "PcorAvg_m" "PcorAvg_m_pvalue" "PcorAvg_m_log" "PcorAvg_m_log_pvalue" "PcorMed_m" "PcorMed_m_pvalue" "PcorMed_m_log" "PcorMed_m_log_pvalue"
"588" "APOL3" 0.929497943098476 8.80118262995573e-09 0.088053669164013 0.72000094122729 0.611371655365643 0.00702111868262724 0.381448590374233 0.107085478558833 NA NA NA NA
"589" "APOL6" 0.877742275689104 7.90918865180956e-07 0.595593003497525 0.0071307950613203 0.788533012455109 0.000101038291869329 0.601030710099299 0.00649560398666769 NA NA NA NA
"590" "APOLD1" 0.719236806647763 0.000519198588594819 0.43054947623253 0.0657440922570226 0.6288692092018 0.00517879181477078 0.329343952659101 0.168545159021428 NA NA NA NA
"605" "AR" -0.0859882179160058 0.72632558186937 0.728584445254047 0.000403352942692841 0.272095274789941 0.274700922633432 0.657834078990433 0.00220297312989681 NA NA NA NA
"606" "ARAF" 0.97209433507069 3.85986792698686e-12 0.035487900625779 0.885317895364 0.731371508572235 0.000562611617443779 0.482424990101441 0.0364457873550953 NA NA NA NA
"607" "ARAP1" 0.499432531193841 0.0294712989956009 -0.0181362657407187 0.941254807031751 0.791917205633183 8.98323543870466e-05 0.444119170602531 0.0567895912688558 0.247294558827791 0.307387836786052 0.271763888984603 0.260369831864871
"608" "ARAP2" 0.840046337382271 6.79075442569813e-06 0.356699070655447 0.133851931404576 0.637903311618689 0.004394586030639 0.480103945041581 0.0374888494220145 0.274745627476311 0.25496872870328 0.152012060770738 0.534435840955335
"609" "ARAP3" 0.895424773051378 2.23078767484676e-07 0.860936616744167 2.22695297314583e-06 0.661059489703722 0.00281656349269099 0.864101518577467 1.85188843437285e-06 NA NA NA NA
"615" "ARF3" 0.66045596891302 0.00208471513292945 -0.489472784872155 0.033415635826057 0.647052309378023 0.0037019929951074 0.0511768817146859 0.835177338699487 NA NA NA NA
"636" "ARHGAP18" 0.858220428292487 2.59966741363331e-06 0.452822645771205 0.0515521494441721 0.820241872907939 3.06616823367074e-05 0.542889242860313 0.0163108384035026 NA NA NA NA
