"gene" "num_prom" "active_prom_num" "active_prom_perc" "num_ex" "active_ex_num" "active_ex_perc" "num_enh" "active_enh_num" "active_enh_perc" "expr_num" "expr_perc"
"ADAMTS14" "ADAMTS14" 1 280 0.0261902534842391 0 0 0 5 2534 0.237021794032364 9 0.000841829576279113
"ADAMTS17" "ADAMTS17" 1 4652 0.435132354316715 0 0 0 4 3435 0.321298288279862 626 0.0585539238611917
"ADAMTS2" "ADAMTS2" 1 143 0.0133757366008792 0 0 0 0 0 0 26 0.00243195210925077
"ADAMTS4" "ADAMTS4" 1 4928 0.460948461322608 0 0 0 6 8934 0.8356561593864 20 0.00187073239173136
"ADAMTS5" "ADAMTS5" 1 311 0.0290898886914227 0 0 0 2 519 0.0485455055654289 39 0.00364792816387616
"ADAMTS6" "ADAMTS6" 1 1117 0.104480404078197 1 438 0.0409690393789168 2 2306 0.215695444766626 467 0.0436816013469273
"ADAMTS7" "ADAMTS7" 1 845 0.0790384435506501 0 0 0 1 1361 0.127303339257319 4 0.000374146478346273
"ADAMTS8" "ADAMTS8" 1 190 0.0177719577214479 0 0 0 0 0 0 25 0.0023384154896642
"ADAMTSL2" "ADAMTSL2" 1 334 0.0312412309419138 0 0 0 8 4344 0.406323075484052 7 0.000654756337105977
"ADAMTSL4" "ADAMTSL4" 2 3042 0.28453839678234 0 0 0 28 6583 0.615751566738378 462 0.0432139182489945
"ADAMTSL5" "ADAMTSL5" 2 4277 0.400056121971752 0 0 0 19 8753 0.818726031241231 38 0.00355439154428959
"ADAP1" "ADAP1" 1 3216 0.300813768590403 0 0 0 13 5321 0.497708352820129 628 0.0587409971003648
"ADAP2" "ADAP2" 2 751 0.0702460013095127 1 543 0.0507903844355065 14 2066 0.19324665606585 778 0.07277149003835
"ADAR" "ADAR" 2 6030 0.564025816107006 0 0 0 15 6563 0.613880834346647 2677 0.250397530633243
"ADARB1" "ADARB1" 1 4535 0.424188569825087 0 0 0 16 6759 0.632214011785614 1088 0.101767842110186
"ADARB2" "ADARB2" 1 121 0.0113179309699747 0 0 0 0 0 0 153 0.0143111027967449
"ADAT1" "ADAT1" 1 5700 0.533158731643438 0 0 0 2 1007 0.0941913759236741 465 0.0434945281077542
"ADAT2" "ADAT2" 1 4207 0.393508558600692 0 0 0 0 0 0 535 0.050042091478814
"ADCK1" "ADCK1" 1 3896 0.364418669909269 0 0 0 0 0 0 271 0.02534842390796
"ADCK2" "ADCK2" 1 3392 0.317276213637639 0 0 0 3 1216 0.113740529417267 345 0.032270133757366
"ADCK5" "ADCK5" 1 6093 0.56991862314096 0 0 0 8 8307 0.777008698905622 243 0.0227293985595361
"ADCY10" "ADCY10" 1 295 0.0275933027780376 1 116 0.0108502478720419 6 3082 0.288279861565803 46 0.00430268450098213
"ADCY2" "ADCY2" 1 46 0.00430268450098213 0 0 0 0 0 0 59 0.00551866055560752
"ADCY3" "ADCY3" 2 3442 0.321953044616968 0 0 0 6 3992 0.37339818538958 483 0.0451781872603124
