"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"ADAT1" "ADAT1" 0.765575682719625 0.000213041953339052
"ADAT2" "ADAT2" 0.801133269696116 6.45080787664693e-05
"ADCK1" "ADCK1" 0.837320267094021 1.46069273101577e-05
"ADCK2" "ADCK2" 0.632323921621133 0.00486647352981166
"ADCK5" "ADCK5" 0.529805735381979 0.0237346479606441
"ADCY10" "ADCY10" 0.611740552198071 0.00697745302737189
"ADCY2" "ADCY2" 0.27179787372143 0.275246662851696
"ADCY3" "ADCY3" 0.274601873682844 0.270127751601649
"ADCY4" "ADCY4" 0.456801063168124 0.0566879758739149
"ADCY5" "ADCY5" 0.284799592226217 0.252011352142702
"ADCY6" "ADCY6" 0.538583142258943 0.0211087134763331
"ADCY7" "ADCY7" 0.672689322005726 0.00222103952706699
"ADCY9" "ADCY9" 0.496970324376164 0.0358884530533955
"ADD1" "ADD1" 0.763593317964505 0.000226339846320623
"ADD2" "ADD2" 0.862096494573256 4.22818572837147e-06
"ADD3" "ADD3" 0.740052301445804 0.000445873674981221
"ADGB" "ADGB" 0.303529473896352 0.220778062949398
"ADGRA2" "ADGRA2" 0.637597130873785 0.00441947387792391
"ADGRA3" "ADGRA3" 0.598884219805121 0.00863482278262111
"ADGRB1" "ADGRB1" 0.227748272395609 0.363396491912776
"ADGRB2" "ADGRB2" 0.222018828391614 0.375915220086619
"ADGRB3" "ADGRB3" 0.933748780763523 1.51403688386974e-08
"ADGRD1" "ADGRD1" 0.849936084620369 7.98558639110397e-06
"ADGRE1" "ADGRE1" 0.811033855637785 4.43312793167519e-05
"ADGRE2" "ADGRE2" 0.830243981852349 2.00556977653168e-05
"ADGRE3" "ADGRE3" 0.667624794769937 0.00246612222623709
"ADGRE5" "ADGRE5" 0.568266724855769 0.0138742151043836
"ADGRG1" "ADGRG1" 0.118795848736883 0.638717067426386
"ADGRG3" "ADGRG3" 0.505409839667374 0.0323873542639032
"ADGRG5" "ADGRG5" 0.44152900599655 0.0666018179476061
"ADGRG6" "ADGRG6" 0.769087431677794 0.00019110109522476
"ADGRG7" "ADGRG7" -0.199041707580584 0.428472163822681
"ADGRV1" "ADGRV1" -0.0552751423218375 0.827551935320668
"ADH5" "ADH5" 0.582159000764625 0.0112504401469108
"ADHFE1" "ADHFE1" 0.784153787375331 0.000117279540090316
"ADI1" "ADI1" 0.264836155608339 0.288212170983136
"ADIPOR1" "ADIPOR1" 0.183095281364326 0.467089731626722
"ADIPOR2" "ADIPOR2" 0.876079273384231 1.88218362363067e-06
"ADIRF" "ADIRF" 0.552212104762088 0.0174891331282753
"ADK" "ADK" 0.776037893478144 0.000153258187863785
"ADM" "ADM" 0.895058567101822 5.2964799386417e-07
"ADM2" "ADM2" 0.0632406721652147 0.803133161160327
"ADNP" "ADNP" 0.822335328560962 2.81155501463447e-05
"ADNP2" "ADNP2" 0.667906657441174 0.00245192142595459
"ADO" "ADO" 0.475567490303781 0.0460728453565969
"ADORA1" "ADORA1" 0.789337495934858 9.82725213898543e-05
"ADORA2A" "ADORA2A" 0.801319368084554 6.4067065284341e-05
"ADORA2B" "ADORA2B" 0.675168466081074 0.00210860718600012
"ADORA3" "ADORA3" 0.283880884580158 0.253611288705419
"ADPGK" "ADPGK" 0.646826758833671 0.00371792057751221
"ADPRH" "ADPRH" 0.828043651228018 2.20692184175376e-05
"ADPRHL1" "ADPRHL1" 0.420936612458579 0.0819362902971208
"ADRA1B" "ADRA1B" 0.240007676359218 0.337414839717371
"ADRA2B" "ADRA2B" 0.444846114499144 0.0643465044230053
"ADRB1" "ADRB1" 0.555842057832275 0.0166131214789314
"ADRB2" "ADRB2" 0.592852445761724 0.00951462155869552
"ADRM1" "ADRM1" 0.683797667904527 0.00175322062015607
"ADSL" "ADSL" 0.825089759821279 2.50419985144985e-05
"ADTRP" "ADTRP" -0.0109361695681969 0.965647159998538
"AEBP1" "AEBP1" 0.300193136905921 0.226148803077711
"AEBP2" "AEBP2" 0.711674910541689 0.000924840749772515
"AEN" "AEN" 0.280474315405955 0.259599433272858
"AFAP1" "AFAP1" 0.83278549516876 1.79272912062858e-05
"AFAP1L1" "AFAP1L1" 0.409117196345778 0.0918259818327249
"AFDN" "AFDN" 0.81585095515345 3.66468533904672e-05
"AFF1" "AFF1" 0.822914347342973 2.74440467494443e-05
"AFF2" "AFF2" 0.210521043804698 0.401749339923139
"AFF3" "AFF3" 0.928631042437067 2.70112692732548e-08
"AFF4" "AFF4" 0.852927779028935 6.86506328614917e-06
"AFG1L" "AFG1L" 0.470726946264849 0.0486532011338997
"AFG3L2" "AFG3L2" 0.75568340155569 0.000286593907027566
"AFTPH" "AFTPH" 0.512689163434061 0.0295847879249884
"AGA" "AGA" 0.585191233500435 0.0107343937684615
"AGAP1" "AGAP1" 0.977637747744089 2.9316275248502e-12
"AGAP2" "AGAP2" 0.555923783504791 0.0165938063401705
"AGAP3" "AGAP3" 0.887745524585778 8.86545473136946e-07
"AGBL2" "AGBL2" 0.770455882040808 0.000183084333640013
"AGBL3" "AGBL3" 0.793538046551849 8.48505843550642e-05
"AGBL4" "AGBL4" 0.132265266397547 0.600851611323888
"AGBL5" "AGBL5" 0.769021816914541 0.000191492813474364
"AGFG1" "AGFG1" 0.755558316597929 0.000287645597368558
"AGFG2" "AGFG2" 0.801751457706087 6.30529765610038e-05
"AGGF1" "AGGF1" 0.610787580140809 0.00709070633460209
"AGK" "AGK" 0.765557146928943 0.000213163168498207
"AGL" "AGL" 0.762008718627257 0.000237466760602983
"AGMAT" "AGMAT" 0.651033625953974 0.00342991061338206
"AGO1" "AGO1" 0.585038760013763 0.0107598815806805
"AGO2" "AGO2" 0.616168360262426 0.00647026847631115
"AGO3" "AGO3" 0.680281599896165 0.00189151216267793
"AGO4" "AGO4" 0.629028717394808 0.00516402150662894
"AGPAT1" "AGPAT1" -0.0232723329832418 0.926968558050248
"AGPAT2" "AGPAT2" 0.691116142394483 0.00149207171587588
"AGPAT3" "AGPAT3" 0.509417172608045 0.0308202580650193
"AGPAT4" "AGPAT4" 0.846873547220347 9.29154774017682e-06
"AGPAT5" "AGPAT5" 0.531879478124603 0.0230923702614554
"AGPS" "AGPS" 0.602666692245222 0.00811738195989026
"AGTPBP1" "AGTPBP1" 0.437477127213734 0.0694357246241648
"AGTRAP" "AGTRAP" 0.664827530709691 0.00261076153012492
"AHCTF1" "AHCTF1" 0.721808957644521 0.000719801508437491
"AHCY" "AHCY" 0.116710197012632 0.644660148888178
"AHCYL1" "AHCYL1" 0.686647622528467 0.00164736370376856
"AHCYL2" "AHCYL2" 0.865912276275892 3.42075664260297e-06
"AHDC1" "AHDC1" 0.644157811831625 0.00391068760828614
"AHI1" "AHI1" 0.611700126911609 0.00698222735264211
"AHNAK" "AHNAK" 0.799573936829029 6.83058376483067e-05
"AHNAK2" "AHNAK2" 0.223315884192023 0.373060367718984
"AHR" "AHR" 0.626802065039446 0.00537333628138546
"AHRR" "AHRR" 0.378996024893976 0.12089333335346
"AIF1" "AIF1" 0.41607112374628 0.0859081857178216
"AIF1L" "AIF1L" 0.627483335542009 0.00530857468527856
"AIFM1" "AIFM1" 0.674246271775407 0.00214986789638574
"AIFM2" "AIFM2" 0.858147617065763 5.23102118404129e-06
"AIFM3" "AIFM3" 0.125844841572007 0.618787159718915
"AIG1" "AIG1" 0.586601469627554 0.010500939683318
"AIM2" "AIM2" 0.392740332237958 0.10692038917252
"AIP" "AIP" 0.721663799080753 0.000722444057250753
"AJM1" "AJM1" 0.222276364855147 0.375347409727154
"AJUBA" "AJUBA" -0.0768001075179938 0.761973240756458
"AK1" "AK1" -0.237734259240125 0.342149489811158
"AK2" "AK2" 0.736138745534681 0.000495695536817964
"AK3" "AK3" 0.525592457053066 0.0250825476365843
"AK4" "AK4" 0.486060437433098 0.0408371396059475
"AK5" "AK5" 0.780522177425549 0.000132376211460653
"AK7" "AK7" 0.254058046127244 0.309004784682134
"AK8" "AK8" 0.174672480659703 0.488165973453774
"AK9" "AK9" 0.603071875249746 0.0080634692327954
"AKAIN1" "AKAIN1" 0.515460480000272 0.0285687014466865
"AKAP1" "AKAP1" 0.778892727823545 0.000139666231265837
"AKAP10" "AKAP10" 0.555796539726815 0.0166238869901439
"AKAP12" "AKAP12" -0.067392567179472 0.790472296619862
"AKAP13" "AKAP13" 0.940281565995133 6.73772430047509e-09
"AKAP17A" "AKAP17A" 0.779132520030319 0.000138572577686508
"AKAP3" "AKAP3" 0.725013434579012 0.000663488759403477
"AKAP5" "AKAP5" 0.604186163223993 0.00791669181027166
"AKAP6" "AKAP6" 0.553990239616016 0.0170555713542707
"AKAP7" "AKAP7" 0.638706713602266 0.00432982492567226
"AKAP8" "AKAP8" 0.678370396072534 0.00197038598712544
"AKAP8L" "AKAP8L" 0.74275381262776 0.000413992066642428
"AKAP9" "AKAP9" 0.81350781479948 4.02292707244529e-05
"AKIRIN1" "AKIRIN1" 0.801583503117361 6.34455228412533e-05
"AKIRIN2" "AKIRIN2" 0.60279783066906 0.00809990127121879
"AKNA" "AKNA" 0.819304058371152 3.18645326936867e-05
"AKR1A1" "AKR1A1" 0.674479944610089 0.00213935046263161
"AKR1B1" "AKR1B1" 0.546464762417055 0.018950346203153
"AKR1E2" "AKR1E2" 0.643961343465638 0.00392519453436646
"AKR7A2" "AKR7A2" 0.323161933144595 0.190852187208705
"AKR7A3" "AKR7A3" -0.139584029577103 0.580670105282011
"AKT1" "AKT1" 0.390367950860481 0.109245584347155
"AKT1S1" "AKT1S1" 0.707811104307735 0.00101485553102786
"AKT2" "AKT2" 0.669750161139477 0.00236069314436673
"AKT3" "AKT3" 0.378477005953762 0.121445031632121
"AKTIP" "AKTIP" 0.806362493383331 5.30530556574645e-05
"ALAD" "ALAD" 0.392385807119065 0.107265594997711
"ALAS1" "ALAS1" 0.757799678695981 0.000269285306982312
"ALCAM" "ALCAM" 0.648169473872382 0.00362392377938034
"ALDH16A1" "ALDH16A1" 0.65263497651787 0.00332520230627025
"ALDH18A1" "ALDH18A1" 0.550413590542123 0.017936474052361
"ALDH1A1" "ALDH1A1" 0.921628576515333 5.58433628960567e-08
"ALDH1A2" "ALDH1A2" 0.726156242789085 0.000644319227670875
"ALDH1A3" "ALDH1A3" 0.202200693852116 0.4210269792989
"ALDH1B1" "ALDH1B1" 0.481279310664553 0.0431632065273025
"ALDH1L2" "ALDH1L2" 0.579239634749895 0.011765843953889
"ALDH2" "ALDH2" 0.792740789773059 8.72708766425983e-05
"ALDH3A1" "ALDH3A1" 0.195946365123513 0.435833851731483
"ALDH3A2" "ALDH3A2" 0.589614577836239 0.0100157676889537
"ALDH3B1" "ALDH3B1" 0.886481421477995 9.65643258360684e-07
"ALDH4A1" "ALDH4A1" 0.627560387155212 0.00530129028694686
"ALDH5A1" "ALDH5A1" 0.730578384028779 0.000574446090351487
"ALDH6A1" "ALDH6A1" 0.739917750796675 0.000447513930935368
"ALDH7A1" "ALDH7A1" 0.699665791471474 0.00122866775445192
"ALDH9A1" "ALDH9A1" 0.535488366510581 0.0220071365830194
"ALDOA" "ALDOA" 0.700203678340472 0.00121348163307257
"ALDOC" "ALDOC" 0.807753738869783 5.03149958466707e-05
"ALG1" "ALG1" 0.505911488843571 0.0321878809104085
"ALG10" "ALG10" 0.279500776525659 0.261326830319656
"ALG10B" "ALG10B" 0.49385155548288 0.0372533503087592
"ALG12" "ALG12" 0.93278249638473 1.69473662298077e-08
"ALG13" "ALG13" 0.877858647715723 1.68633355173972e-06
